SCRIPT_SECTION,DISTANCE_TIER,CHARACTER,MATCH_COUNT
58,3,FINN,4914
266,3,FINN,220
266,3,REY,125
306,3,HAN,654
380,1,HAN,2307
58,2,FINN,3130
424,0,REY,8266
31,2,KYLO REN,368
57,0,POE,494
57,2,POE,716
53,3,POE,232
8,2,POE,682
380,4,HAN,403
331,3,C-3PO,38
12,1,POE,1326
12,0,POE,1399
12,2,POE,562
317,4,LEIA,444
406,2,FINN,761
407,2,FINN,352
334,0,HAN,327
425,1,FINN,392
94,1,REY,9702
59,2,FINN,1225
260,1,MAZ,524
380,4,FINN,633
229,3,REY,627
229,3,HAN,1306
271,4,FINN,677
268,3,REY,784
261,5,FINN,260
228,0,HAN,150
128,1,FINN,1803
406,5,FINN,73
406,1,FINN,825
407,1,FINN,1104
407,3,FINN,161
31,3,KYLO REN,921
294,3,REY,724
40,2,STORMTROOPER,723
41,2,STORMTROOPER,420
65,2,FINN,1367
65,2,POE,408
455,2,KYLO REN,518
455,1,KYLO REN,1660
316,1,FINN,492
465,0,REY,980
465,2,LEIA,76
95,0,FINN,36
95,0,REY,76
352,1,KYLO REN,966
353,1,KYLO REN,661
14,3,KYLO REN,595
14,3,LOR SAN TEKKA,591
15,3,LOR SAN TEKKA,104
262,5,FINN,346
435,4,HAN,837
435,4,KYLO REN,522
436,4,KYLO REN,436
159,3,HAN,260
327,3,C-3PO,241
328,3,HAN,1125
309,5,C-3PO,47
91,1,REY,124
91,1,FINN,350
56,1,FN-2187,34
56,0,FN-2187,546
313,0,POE,380
314,1,FINN,809
314,0,POE,170
315,1,POE,938
316,1,POE,100
248,5,KYLO REN,120
249,5,KYLO REN,24
313,1,FINN,360
331,3,HAN,101
332,0,HAN,323
332,5,HAN,98
193,3,HAN,360
317,1,LEIA,3138
317,2,LEIA,1375
268,0,REY,4752
248,1,KYLO REN,313
352,2,KYLO REN,676
332,3,HAN,430
64,5,POE,210
204,0,SNOKE,10755
175,5,BALA-TIK,125
175,5,HAN,90
268,2,REY,760
6,2,LOR SAN TEKKA,196
442,5,KYLO REN,4361
271,3,FINN,1226
271,2,FINN,762
271,0,FINN,806
271,1,FINN,1041
70,0,FINN,1846
140,3,FINN,535
140,3,REY,283
263,3,MAZ,100
250,2,HAN,2702
250,0,HAN,1907
251,1,HAN,48
193,0,HAN,413
194,0,HAN,20
312,3,FINN,368
312,3,POE,102
343,2,KYLO REN,2180
344,2,KYLO REN,369
344,2,REY,273
382,1,HAN,882
273,4,FINN,1231
274,4,REY,20
10,1,POE,66
10,1,LOR SAN TEKKA,216
398,4,FINN,614
338,3,LEIA,2650
355,0,KYLO REN,312
248,2,KYLO REN,169
305,2,FINN,437
305,0,FINN,3595
314,0,FINN,496
276,2,REY,958
276,1,REY,885
277,1,REY,76
421,0,FINN,1759
422,0,FINN,2078
362,3,TROOPER GUARD #2,293
363,3,TROOPER GUARD #2,411
363,3,REY,78
14,1,LOR SAN TEKKA,335
14,1,KYLO REN,482
348,4,KYLO REN,311
402,1,HAN,553
402,1,FINN,32
202,0,SNOKE,236
202,1,KYLO REN,6
162,5,HAN,29
162,5,REY,32
440,1,HAN,721
440,1,KYLO REN,629
440,3,HAN,252
258,2,FINN,940
259,2,HAN,4264
290,3,REY,253
290,3,MAZ,100
325,5,C-3PO,278
325,3,C-3PO,288
325,3,LEIA,682
326,3,LEIA,731
325,5,LEIA,470
326,5,LEIA,561
253,3,MAZ,78
254,3,MAZ,109
435,3,HAN,3868
435,3,KYLO REN,1484
436,3,KYLO REN,1283
40,5,STORMTROOPER,323
250,5,MAZ,11
250,5,HAN,363
90,2,FINN,523
273,3,FINN,849
233,3,HAN,73
266,0,FINN,591
266,0,REY,2060
466,0,LEIA,5398
343,4,KYLO REN,436
344,4,KYLO REN,440
267,1,REY,1964
267,2,REY,1705
442,3,KYLO REN,9127
131,1,FINN,451
6,4,LOR SAN TEKKA,119
7,4,LOR SAN TEKKA,493
317,0,POE,182
70,1,FINN,2170
30,0,KYLO REN,4608
168,0,REY,841
258,4,FINN,105
259,4,HAN,524
183,0,HAN,2514
71,1,FINN,78
89,2,FINN,402
89,2,REY,133
466,1,LEIA,548
345,3,KYLO REN,80
345,3,REY,59
406,0,FINN,983
407,0,FINN,1069
30,1,KYLO REN,1618
166,5,HAN,20
166,5,REY,24
206,0,REY,10
206,0,HAN,1
106,0,REY,37
107,0,REY,273
107,2,REY,882
304,3,FINN,18
305,3,FINN,165
243,5,HAN,140
274,3,REY,76
274,3,FINN,51
322,5,LEIA,907
40,1,STORMTROOPER,827
40,0,STORMTROOPER,1684
41,0,STORMTROOPER,911
41,1,STORMTROOPER,441
41,2,POE,59
32,0,POE,927
153,2,REY,48
153,0,REY,353
153,1,REY,75
204,3,SNOKE,255
192,1,REY,205
424,1,REY,1677
425,0,REY,118
425,2,FINN,436
40,4,STORMTROOPER,386
40,3,STORMTROOPER,2093
16,4,KYLO REN,742
8,0,POE,2615
435,2,HAN,1909
338,5,LEIA,1040
458,5,SNOKE,130
128,2,FINN,1103
306,3,FINN,69
58,1,FINN,825
58,0,FINN,1931
250,0,MAZ,119
191,2,HAN,37
16,2,KYLO REN,4455
16,0,KYLO REN,1262
16,0,LOR SAN TEKKA,252
442,2,KYLO REN,9832
155,4,REY,533
276,3,REY,368
277,3,REY,66
288,0,REY,271
289,0,REY,808
289,3,REY,490
272,4,FINN,179
435,1,HAN,2100
8,1,POE,1986
31,0,KYLO REN,1353
387,4,LEIA,83
387,4,HAN,88
98,0,FINN,425
98,1,FINN,195
442,1,KYLO REN,14175
30,2,KYLO REN,706
458,3,SNOKE,138
458,3,REY,5
313,2,FINN,750
314,2,FINN,570
127,3,FINN,530
205,5,KYLO REN,101
338,4,LEIA,1521
142,5,REY,91
142,5,FINN,158
426,2,FINN,770
443,3,KYLO REN,421
94,3,REY,1020
305,1,FINN,393
1,2,Intro Text,487
155,1,REY,812
283,2,GENERAL HUX,139
283,0,GENERAL HUX,837
284,0,GENERAL HUX,751
247,0,KYLO REN,702
248,0,KYLO REN,619
16,2,LOR SAN TEKKA,661
247,1,KYLO REN,358
57,1,POE,216
425,1,REY,785
117,2,REY,4541
118,2,REY,708
442,0,KYLO REN,8484
326,4,LEIA,281
70,2,FINN,683
280,4,MAZ,160
77,2,GENERAL HUX,31
77,0,GENERAL HUX,216
77,1,GENERAL HUX,27
78,1,KYLO REN,71
78,0,KYLO REN,132
79,0,KYLO REN,282
79,1,KYLO REN,30
79,1,GENERAL HUX,51
80,1,GENERAL HUX,27
80,3,GENERAL HUX,29
80,0,KYLO REN,187
82,1,KYLO REN,191
82,0,KYLO REN,318
90,1,FINN,398
90,1,REY,90
7,5,LOR SAN TEKKA,629
44,2,FN-2187,404
256,1,FINN,450
12,3,POE,633
252,2,HAN,719
252,0,HAN,549
250,3,HAN,1496
251,3,HAN,116
422,3,FINN,617
424,2,REY,1067
348,2,KYLO REN,230
348,0,KYLO REN,1795
349,2,KYLO REN,139
349,0,KYLO REN,732
349,1,KYLO REN,398
261,1,FINN,980
351,0,REY,151
351,1,REY,1756
110,0,FINN,34
221,2,HAN,393
221,0,HAN,503
222,0,HAN,152
312,0,FINN,152
312,0,POE,195
312,4,POE,11
231,0,HAN,988
266,2,FINN,308
289,1,REY,745
289,2,REY,1087
442,4,KYLO REN,3946
164,0,FINN,52
165,0,HAN,122
165,2,HAN,105
203,1,KYLO REN,41
204,1,KYLO REN,105
204,1,SNOKE,144
204,5,SNOKE,92
197,4,SNOKE,22
197,3,SNOKE,21
198,3,GENERAL HUX,26
258,3,FINN,131
230,0,HAN,478
234,4,HAN,72
235,4,HAN,90
67,5,POE,99
140,2,FINN,669
273,1,FINN,1172
9,0,LOR SAN TEKKA,470
217,4,HAN,158
217,4,FINN,330
276,2,MAZ,27
435,2,KYLO REN,2214
436,2,KYLO REN,1302
104,3,FINN,339
104,3,REY,234
313,0,FINN,1488
68,1,POE,518
69,1,FINN,1356
277,2,REY,120
277,2,MAZ,67
17,3,LOR SAN TEKKA,251
18,3,LOR SAN TEKKA,105
12,5,POE,60
272,2,FINN,197
272,0,FINN,398
435,1,KYLO REN,3252
8,4,POE,123
247,2,KYLO REN,181
94,2,REY,787
340,4,LEIA,302
341,4,LEIA,40
276,0,REY,1213
128,0,FINN,1225
70,3,FINN,390
185,3,REY,316
13,1,KYLO REN,79
14,0,LOR SAN TEKKA,412
15,0,LOR SAN TEKKA,235
15,1,KYLO REN,113
16,1,KYLO REN,2435
17,0,LOR SAN TEKKA,203
17,1,LOR SAN TEKKA,310
17,2,LOR SAN TEKKA,245
17,1,KYLO REN,454
18,0,LOR SAN TEKKA,403
269,3,FINN,170
81,2,GENERAL HUX,13
81,2,KYLO REN,27
197,0,SNOKE,140
197,1,SNOKE,13
294,4,REY,272
273,5,FINN,234
250,3,MAZ,50
426,5,REY,1089
427,5,REY,24
258,1,FINN,398
259,1,HAN,2638
381,3,FINN,524
221,1,HAN,611
426,2,REY,639
465,1,LEIA,112
282,3,REY,1892
118,4,REY,200
59,0,POE,530
59,0,FINN,1004
221,3,HAN,362
117,3,REY,1867
438,1,HAN,295
250,1,HAN,913
282,1,REY,5794
140,4,FINN,489
140,4,REY,272
326,2,LEIA,476
326,2,HAN,25
454,0,KYLO REN,508
455,0,KYLO REN,2310
315,4,POE,117
13,0,POE,330
70,4,FINN,114
285,0,GENERAL HUX,756
286,0,GENERAL HUX,813
287,0,GENERAL HUX,658
287,2,GENERAL HUX,73
371,0,FINN,48
372,0,FINN,100
372,1,FINN,43
436,1,KYLO REN,1142
94,4,REY,145
338,1,LEIA,3451
131,0,FINN,670
132,1,REY,54
131,2,FINN,271
113,2,FINN,1428
38,0,UNKAR,44
38,0,REY,31
443,2,FINN,9
444,2,REY,25
444,2,ADMIRAL ACKBAR,8
382,2,LEIA,29
382,2,HAN,817
267,3,REY,1990
267,3,FINN,287
241,4,HAN,38
250,4,HAN,756
85,4,FINN,42
334,1,HAN,482
113,1,FINN,1899
312,2,FINN,251
312,2,POE,87
125,1,REY,224
128,4,FINN,339
334,5,HAN,157
1,3,Intro Text,602
68,2,POE,417
336,0,HAN,194
337,0,HAN,149
380,2,FINN,931
380,2,HAN,541
441,3,KYLO REN,282
236,2,REY,825
425,4,FINN,234
322,0,LEIA,407
426,1,REY,556
426,1,FINN,437
193,5,HAN,257
325,2,LEIA,306
203,0,SNOKE,218
211,0,HAN,43
448,0,JESS,157
448,2,JESS,642
20,1,STORMTROOPER #1,2
20,1,KYLO REN,8
21,1,KYLO REN,24
29,2,KYLO REN,489
333,2,HAN,142
334,2,HAN,732
332,1,HAN,714
460,2,MEDIC,42
460,4,MEDIC,116
44,0,FN-2187,5321
44,1,POE,354
205,1,SNOKE,91
205,0,KYLO REN,462
274,2,FINN,87
437,0,KYLO REN,553
437,2,HAN,59
6,0,LOR SAN TEKKA,237
7,0,LOR SAN TEKKA,339
117,1,REY,3293
118,1,REY,227
361,2,SNOKE,188
362,2,SNOKE,42
362,2,REY,531
316,4,POE,226
317,4,POE,61
228,1,HAN,188
229,1,REY,696
104,2,REY,87
465,5,REY,514
441,1,KYLO REN,503
441,1,HAN,257
57,3,POE,314
168,2,REY,133
26,0,REY,565
138,1,FINN,304
138,1,REY,786
138,2,REY,155
336,2,HAN,134
16,3,LOR SAN TEKKA,167
167,1,HAN,203
167,0,HAN,170
167,2,FINN,16
380,1,FINN,875
330,4,C-3PO,49
435,0,HAN,937
435,0,KYLO REN,1278
436,0,KYLO REN,1121
436,2,HAN,54
436,0,HAN,389
437,0,HAN,234
438,0,HAN,501
438,0,KYLO REN,475
439,0,KYLO REN,67
439,3,HAN,207
439,0,HAN,1432
440,0,HAN,488
440,2,KYLO REN,180
441,0,HAN,502
441,0,KYLO REN,1123
443,0,KYLO REN,1463
443,2,HAN,145
6,5,LOR SAN TEKKA,115
215,5,HAN,46
215,5,REY,45
355,1,KYLO REN,917
434,3,KYLO REN,107
419,1,HAN,54
270,1,FINN,176
64,1,POE,483
440,2,HAN,232
119,1,FINN,489
220,0,HAN,451
448,1,JESS,808
312,1,FINN,221
312,1,POE,110
465,0,LEIA,315
262,1,FINN,787
438,3,HAN,247
260,2,MAZ,237
127,1,FINN,184
125,0,REY,373
125,2,REY,56
32,1,KYLO REN,72
332,2,HAN,373
260,2,FINN,52
261,2,FINN,608
419,4,FINN,133
419,4,HAN,38
281,5,MAZ,90
32,2,POE,23
408,3,HAN,32
408,3,CAPTAIN PHASMA,235
30,3,KYLO REN,420
398,3,HAN,177
398,3,FINN,751
138,2,FINN,147
139,2,FINN,27
229,1,HAN,1834
334,3,LEIA,206
325,2,C-3PO,151
26,3,REY,389
156,3,HAN,18
262,2,FINN,314
422,2,FINN,625
405,1,FINN,731
172,1,BALA-TIK,20
172,1,HAN,109
228,5,HAN,318
229,5,REY,553
378,3,MAJOR EMATT,12
378,3,POE,39
387,2,HAN,125
387,1,HAN,516
116,4,FINN,34
116,3,FINN,68
116,3,REY,81
58,4,FINN,1964
288,3,GENERAL HUX,454
349,3,KYLO REN,78
159,2,HAN,311
343,1,KYLO REN,884
344,1,KYLO REN,148
344,3,KYLO REN,596
259,3,HAN,1139
168,3,HAN,117
168,3,REY,572
34,0,GENERAL HUX,64
34,0,KYLO REN,150
135,2,REY,321
76,3,FINN,1484
217,5,HAN,306
217,5,FINN,673
291,2,HAN,448
75,3,TECHNICIAN #1,90
75,3,GENERAL HUX,68
268,1,FINN,243
440,0,KYLO REN,168
321,3,FINN,180
322,3,FINN,19
387,1,LEIA,115
388,2,LEIA,31
338,0,LEIA,2121
41,4,STORMTROOPER,62
176,0,HAN,248
113,3,FINN,1623
317,3,LEIA,1199
422,1,FINN,962
176,1,HAN,638
172,2,HAN,194
173,2,HAN,44
239,4,REY,5
239,4,HAN,20
426,4,FINN,237
219,5,HAN,162
89,1,FINN,298
159,5,HAN,283
268,1,REY,1161
301,0,KYLO REN,177
302,0,KYLO REN,321
5,4,Intro Text,1
5,0,LOR SAN TEKKA,40
338,2,HAN,14
338,2,LEIA,3208
176,3,HAN,86
231,2,HAN,317
59,1,POE,411
60,1,POE,76
91,2,FINN,202
395,0,KYLO REN,196
241,1,HAN,225
31,1,KYLO REN,552
169,1,HAN,738
18,2,LOR SAN TEKKA,106
9,1,LOR SAN TEKKA,276
445,1,REY,85
454,1,GENERAL HUX,62
455,0,REY,2
455,2,REY,52
441,3,HAN,20
434,2,HAN,12
434,0,KYLO REN,460
395,3,KYLO REN,93
14,4,LOR SAN TEKKA,298
14,4,KYLO REN,342
322,4,LEIA,127
323,4,LEIA,4
323,4,DR. KALONIA,2
268,0,FINN,252
269,0,FINN,249
436,1,HAN,200
204,0,KYLO REN,224
205,0,SNOKE,92
201,5,GENERAL HUX,428
202,5,SNOKE,143
203,0,KYLO REN,107
288,1,REY,187
282,4,REY,2096
282,2,REY,1441
438,2,KYLO REN,366
113,2,REY,349
337,3,HAN,174
337,1,HAN,245
338,1,HAN,10
438,1,KYLO REN,233
359,2,SNOKE,49
360,2,SNOKE,204
353,2,REY,225
354,2,REY,275
354,0,REY,1002
353,0,KYLO REN,540
353,0,REY,310
9,5,LOR SAN TEKKA,147
139,1,FINN,22
454,0,GENERAL HUX,12
455,1,REY,26
290,1,REY,106
321,1,FINN,189
228,4,HAN,806
144,0,HAN,92
342,0,KYLO REN,620
257,3,FINN,35
257,2,FINN,112
445,4,KYLO REN,36
445,4,REY,4
268,2,FINN,195
90,4,FINN,280
423,1,OFFICER,37
423,1,HAN,176
355,2,KYLO REN,249
127,4,FINN,491
362,4,REY,88
362,4,TROOPER GUARD #2,148
363,4,TROOPER GUARD #2,204
354,3,REY,133
445,0,FINN,10
445,0,KYLO REN,60
264,0,REY,292
446,0,KYLO REN,166
446,2,FINN,11
273,2,FINN,2559
265,2,REY,302
265,2,FINN,55
265,2,HAN,15
417,3,POE,195
350,0,KYLO REN,678
351,0,KYLO REN,343
446,2,KYLO REN,28
446,1,KYLO REN,139
439,1,HAN,367
117,4,REY,973
117,0,REY,884
290,4,REY,183
290,4,MAZ,103
41,1,POE,42
41,1,FN-2187,135
237,3,HAN,123
238,3,HAN,57
30,4,POE,18
30,0,POE,7
45,1,FN-2187,320
45,1,POE,524
352,0,KYLO REN,1015
348,1,KYLO REN,1015
267,2,FINN,246
266,4,FINN,89
266,4,REY,71
34,3,KYLO REN,130
34,3,REY,171
317,0,LEIA,1441
127,5,FINN,407
427,1,SNAP,12
427,1,JESS,23
98,3,FINN,266
7,3,LOR SAN TEKKA,540
7,3,POE,39
224,1,REY,847
90,4,REY,75
91,4,REY,48
18,1,KYLO REN,56
437,1,KYLO REN,471
443,2,KYLO REN,575
279,0,REY,12
279,0,MAZ,453
333,0,HAN,49
333,0,LEIA,95
339,0,LEIA,54
388,0,LEIA,73
389,0,LEIA,58
389,3,LEIA,33
159,4,HAN,317
250,2,MAZ,47
339,1,HAN,14
228,2,HAN,192
229,2,REY,521
229,5,HAN,459
91,4,FINN,125
319,3,LEIA,689
319,3,POE,166
286,1,GENERAL HUX,139
287,1,GENERAL HUX,116
44,5,FN-2187,78
282,5,REY,1479
327,4,C-3PO,212
328,4,HAN,458
265,4,REY,132
265,4,FINN,63
281,3,MAZ,121
281,0,MAZ,443
281,1,MAZ,299
282,1,MAZ,48
288,4,GENERAL HUX,1101
269,1,FINN,313
293,4,STORMTROOPER #4,32
293,4,REY,149
423,0,OFFICER,45
423,0,HAN,235
240,4,HAN,72
183,1,HAN,121
52,4,POE,143
52,4,FN-2187,8
65,5,POE,190
66,5,POE,39
141,5,FINN,1
361,0,KYLO REN,183
361,0,SNOKE,296
362,0,SNOKE,61
362,1,REY,437
274,4,FINN,47
426,3,REY,956
427,3,REY,31
443,1,KYLO REN,400
443,1,HAN,6
437,4,HAN,24
344,0,REY,1221
222,1,HAN,396
249,0,KYLO REN,718
326,3,HAN,16
327,2,LEIA,149
327,2,HAN,25
385,0,FINN,6
385,0,LEIA,124
386,0,LEIA,59
386,0,HAN,118
387,0,LEIA,40
387,0,HAN,76
388,2,HAN,47
337,2,LEIA,17
337,1,LEIA,27
433,1,HAN,303
58,5,FINN,819
98,0,REY,11
398,2,HAN,282
398,1,FINN,628
265,1,REY,589
265,1,FINN,35
265,1,HAN,16
44,1,FN-2187,511
315,5,FINN,9
46,4,FN-2187,266
327,0,C-3PO,67
328,0,HAN,320
194,1,HAN,32
195,1,HAN,96
275,0,MAZ,2
276,0,MAZ,152
276,1,MAZ,61
408,1,HAN,21
408,1,CAPTAIN PHASMA,166
34,5,REY,55
35,5,REY,16
60,0,POE,166
16,1,LOR SAN TEKKA,270
113,0,FINN,2447
29,3,REY,340
29,0,REY,248
29,0,KYLO REN,486
231,0,REY,15
231,4,HAN,32
371,1,FINN,34
361,2,KYLO REN,23
169,3,HAN,454
443,4,HAN,28
443,4,KYLO REN,176
236,4,REY,480
306,1,FINN,43
218,1,HAN,80
118,3,REY,123
252,3,HAN,1030
234,1,HAN,159
235,1,HAN,159
144,1,HAN,74
342,3,KYLO REN,62
343,0,KYLO REN,731
344,0,KYLO REN,586
345,0,KYLO REN,233
345,0,REY,572
346,0,KYLO REN,697
1,0,Intro Text,731
347,0,KYLO REN,899
348,5,KYLO REN,288
350,1,KYLO REN,301
351,1,KYLO REN,156
43,0,POE,450
44,0,POE,444
288,5,GENERAL HUX,993
372,5,FINN,243
372,5,LEIA,243
375,4,HAN,212
236,1,REY,478
343,3,KYLO REN,619
344,3,REY,90
235,3,HAN,408
231,1,REY,19
231,1,HAN,476
331,1,C-3PO,56
249,1,KYLO REN,296
126,3,REY,533
126,3,FINN,9
41,5,STORMTROOPER,15
256,2,MAZ,92
256,2,FINN,134
362,5,TROOPER GUARD #2,65
363,5,TROOPER GUARD #2,96
363,5,REY,24
356,2,SNOKE,80
185,4,FINN,8
185,3,FINN,18
75,4,TECHNICIAN #1,159
75,4,GENERAL HUX,97
0,1,Intro Text,164
353,3,KYLO REN,556
353,3,REY,505
352,4,KYLO REN,130
353,4,KYLO REN,318
353,4,REY,267
282,5,MAZ,38
230,2,HAN,382
264,4,REY,135
264,2,REY,227
235,3,REY,28
41,2,FN-2187,60
41,0,FN-2187,257
42,0,FN-2187,335
42,2,POE,38
242,1,HAN,136
243,1,HAN,270
103,4,FINN,60
104,4,FINN,172
370,4,POE,51
157,4,REY,55
158,4,REY,7
224,3,FINN,163
225,3,FINN,815
213,4,REY,260
214,4,REY,53
267,5,REY,374
267,5,FINN,101
127,2,FINN,633
327,3,HAN,58
268,4,REY,133
421,2,FINN,418
228,3,HAN,193
229,4,REY,474
224,1,FINN,161
225,1,FINN,524
234,2,HAN,99
234,0,HAN,108
235,0,HAN,81
235,2,HAN,254
382,5,HAN,292
382,5,POE,16
30,5,POE,41
30,5,KYLO REN,73
31,5,KYLO REN,48
395,1,KYLO REN,334
353,5,KYLO REN,289
353,5,REY,513
327,2,C-3PO,87
328,2,HAN,433
406,4,FINN,215
224,3,REY,1384
270,4,FINN,67
270,2,FINN,44
437,2,KYLO REN,151
14,2,LOR SAN TEKKA,319
14,2,KYLO REN,477
283,1,GENERAL HUX,225
239,3,REY,14
239,0,REY,14
239,0,HAN,129
0,0,Intro Text,1135
183,2,HAN,298
353,2,KYLO REN,242
438,3,KYLO REN,168
439,2,KYLO REN,29
277,3,MAZ,109
341,2,GENERAL STATURA,30
341,0,GENERAL STATURA,3
341,0,REY,12
341,0,KYLO REN,3
341,2,KYLO REN,75
333,5,LEIA,235
341,2,REY,93
215,2,HAN,236
215,2,REY,58
140,5,FINN,199
140,5,REY,132
277,4,MAZ,227
94,0,REY,2211
95,3,FINN,161
318,4,LEIA,85
380,5,FINN,164
140,1,FINN,208
140,1,REY,97
90,3,FINN,343
90,3,REY,59
91,3,REY,61
340,0,LEIA,503
387,3,LEIA,79
387,3,HAN,131
382,4,HAN,769
334,1,LEIA,256
210,2,HAN,104
455,5,REY,51
455,5,COLONEL DATOO,104
76,5,GENERAL HUX,32
76,5,FINN,326
256,3,FINN,112
132,0,REY,64
326,1,LEIA,451
274,1,REY,133
274,1,FINN,407
243,0,HAN,542
303,3,KYLO REN,16
304,3,KYLO REN,96
262,3,FINN,492
273,0,FINN,849
193,4,HAN,218
461,2,C-3PO,95
331,1,HAN,162
201,0,SNOKE,4
201,0,GENERAL HUX,131
202,3,SNOKE,98
288,1,GENERAL HUX,537
288,2,GENERAL HUX,592
16,5,LOR SAN TEKKA,60
157,3,REY,429
30,4,KYLO REN,67
291,3,HAN,59
310,2,HAN,77
361,1,SNOKE,201
362,1,SNOKE,91
351,5,KYLO REN,33
29,5,REY,41
212,1,HAN,47
212,1,FINN,28
386,1,LEIA,74
386,1,HAN,286
441,2,KYLO REN,1116
18,2,KYLO REN,60
465,1,REY,567
465,2,REY,471
226,4,FINN,283
269,5,FINN,423
264,1,REY,536
309,1,C-3PO,29
309,1,HAN,11
310,1,HAN,52
310,2,LEIA,11
64,2,POE,241
335,2,LEIA,190
424,3,REY,775
268,5,FINN,110
268,5,REY,135
345,4,KYLO REN,141
345,4,REY,104
16,3,KYLO REN,2065
264,3,REY,196
265,3,REY,249
315,3,POE,247
315,0,POE,1175
316,0,POE,371
126,4,REY,908
380,3,FINN,641
380,3,HAN,344
382,4,POE,28
322,1,LEIA,727
189,0,HAN,833
65,1,POE,201
121,4,LIEUTENANT MITAKA,38
205,3,KYLO REN,264
201,1,GENERAL HUX,120
202,1,SNOKE,165
240,2,HAN,77
181,1,HAN,113
280,1,MAZ,176
396,2,FINN,111
397,2,FINN,78
397,2,HAN,345
15,4,LOR SAN TEKKA,33
41,3,STORMTROOPER,969
29,2,REY,349
11,3,POE,38
357,2,SNOKE,243
386,4,HAN,388
274,0,REY,81
274,0,FINN,252
465,3,REY,274
458,1,SNOKE,259
261,3,FINN,540
347,1,KYLO REN,162
395,2,KYLO REN,285
2,3,Intro Text,78
29,4,KYLO REN,41
116,1,REY,77
357,0,SNOKE,844
267,0,REY,742
69,2,FINN,480
86,0,REY,411
11,4,POE,38
282,4,MAZ,66
352,3,KYLO REN,302
46,4,POE,33
440,4,HAN,103
340,2,LEIA,297
341,2,LEIA,41
211,5,HAN,62
327,0,LEIA,40
327,0,HAN,5
327,1,HAN,35
160,2,HAN,117
267,4,REY,1192
267,4,FINN,183
406,3,FINN,504
177,2,HAN,29
302,5,KYLO REN,28
251,1,MAZ,28
252,1,MAZ,15
313,2,POE,103
89,3,FINN,271
89,3,REY,46
82,2,KYLO REN,228
47,4,POE,397
250,4,MAZ,26
397,3,HAN,255
382,3,HAN,760
87,3,FINN,78
